,0,1,2,3,4,5,6,7,8,9,10
0,2.0,0.3007358297827959,0.5800469552572347,0.4715626418927641,0.8093916956490205,0.8234029832663674,0.9775514926623107,0.9646223647053255,0.5622299589517786,0.6428639704939174,0.5193317635264093
1,3.0,0.6769890233024274,0.7842420561483626,0.6826873938733296,0.9753738543902535,0.6269444559431033,0.7322085327939396,0.7583349295368371,0.8705074302527919,0.6102868908147745,0.635299030236429
2,5.0,0.6749058644299923,0.546249477806782,0.47772331217214475,0.7604320068566354,0.5685063188097506,0.6358555796501768,0.5358216239102281,0.502638817846772,0.6324372513305703,0.5699026889391183
3,8.0,0.3040678280207024,0.504191642688003,0.4528568153686173,0.481854983816688,0.37885251123554664,0.43823218860174273,0.43819680307421305,0.3844757761749529,0.37507786029180185,0.4645272249863672
4,13.0,0.28011922443681,0.28590327693394896,0.22451675193759502,0.3429958173997994,0.2967037488718789,0.31433481504783384,0.30298887736139957,0.2851682662727505,0.33417437638322184,0.28897750378121656
5,21.0,0.2112194233455031,0.2388976672197119,0.20839469381772446,0.21405929716208943,0.18243973862865603,0.1717749716157465,0.198885853211814,0.17604595881584673,0.21269884217204177,0.21823190524396713
6,34.0,0.13750383460376725,0.11718635973837765,0.1059035559322549,0.14846492880804102,0.13537313886801727,0.11572750048436137,0.1103091939482933,0.16292085039570492,0.11987788283305667,0.1290009511515262
7,55.0,0.07602353717914412,0.08243998345920367,0.08212354477325501,0.09346308940867054,0.10009649026273723,0.07688654164034607,0.08396880499582388,0.08076021632902686,0.0842059623054382,0.08729212397367664
8,89.0,0.06036401272504305,0.05909995920201583,0.056241396086408046,0.05727213675377252,0.05032488599921414,0.056864704388046694,0.06253042886794241,0.07248013132290898,0.06565628822377395,0.059188189373318295
9,144.0,0.036900583090464956,0.03348235112009845,0.03561288955460973,0.039181964359227495,0.04179959923653867,0.036662581032210095,0.03516612809623665,0.03605921426887633,0.03491242326521293,0.0352873049431488
10,233.0,0.02314993193389392,0.025841258625950325,0.024111725587593613,0.025802018911126434,0.02831514282712022,0.02165268686764671,0.025295726656171913,0.025115516514888303,0.024625947779966018,0.02627065334209805
11,377.0,0.017764501117199738,0.017054148682766182,0.017180545123699376,0.015108063206189404,0.01670155771729054,0.014955138424256803,0.016465931828247765,0.016518143750025638,0.016522347621773292,0.01456171998475142
12,610.0,0.010446393887482475,0.010280288844455143,0.01006904379702811,0.010286435657918869,0.011227920724620422,0.01217009773930633,0.010191373848494334,0.009668933095631549,0.010438718351105991,0.012716471489116477
13,987.0,0.009473822882077931,0.00731707030486195,0.007232705194794603,0.007605426043446176,0.0067084631562513986,0.007122063590784322,0.007512658523178173,0.007337600844427916,0.007099587802298968,0.007507041790136282
14,1597.0,0.0047185894098026315,0.004879288930068393,0.004360870665013172,0.004706158380107489,0.005094781456131348,0.00444693257657347,0.005249553643208893,0.004458653953370417,0.004276795867060812,0.004369892411457188
15,2584.0,0.003257151726889451,0.00291747581219326,0.003125558081300772,0.0034598075684738328,0.003048699960604251,0.003361659696882957,0.0030689963385253094,0.0029858170346759305,0.003463886021676854,0.0031549667713127727
16,4181.0,0.001976958403210771,0.0018900628642912753,0.0019534487861636585,0.002043883900943455,0.0020107591213054388,0.001899996274956961,0.0020673442892005234,0.0018941678673915496,0.0018699536136576045,0.0019433742671316478
17,6765.0,0.0014775286388943876,0.001187635232206996,0.0012084255526590981,0.001458900827619472,0.0013595207673759435,0.001195430656346419,0.0012382975523563267,0.0013883404709591207,0.0013014697376018125,0.0012920386669218464
18,10946.0,0.0008569662877403461,0.000807606432026764,0.0008275951932683601,0.0008316711582024849,0.0007863127165574912,0.0008900783743538421,0.0008814894383269017,0.0008414780563443802,0.0008308793691467198,0.0007982708835760355
19,17711.0,0.0005183787167293286,0.0005537054053342816,0.0005179327260701472,0.0005284415226017858,0.0005834458521457586,0.0005570509289632986,0.0005280230844034173,0.0005323402832539403,0.0005894182920660462,0.0005495457234797607
20,28657.0,0.00034495522886185404,0.00035866466864403757,0.00032816274374258825,0.00032028556715096856,0.00034148508106979225,0.0003424307431421081,0.000321113197224665,0.0003600757464138904,0.00036535725832514965,0.0003666681176142661
